0,1,0,11032
1,2,1,11032
2,2,1,11032
3,2,1,11032
4,10,1,13073
5,2,1,13073
6,3,1,13073
7,2,1,13073
8,9,11,13981
9,3,1,13981
10,4,3,14825
11,1,2,15571
12,10,9,15841
13,6,3,15963
14,5,4,16372
15,1,2,16830
16,11,9,17022
17,6,6,17178
18,5,5,17379
19,1,2,17656
20,11,9,17754
21,7,7,17834
22,5,5,17917
23,1,2,17993
24,10,8,17998
25,9,9,17990
26,5,5,17952
27,1,2,17821
28,9,9,17778
29,8,9,17637
30,6,5,17481
31,1,2,17152
32,7,8,17065
33,9,8,16799
34,6,6,16534
35,1,2,16027
36,7,6,15900
37,6,9,15530
38,5,6,15172
39,1,2,14516
40,6,6,14360
41,6,6,13909
42,5,5,13483
43,1,2,12720
44,5,5,12541
45,6,6,12038
46,4,5,11572
47,1,2,10748
48,4,4,10562
49,6,6,10038
50,3,4,9558
51,1,2,8729
52,3,3,8547
53,6,6,8036
54,3,3,7573
55,1,2,6793
56,3,2,6624
57,6,6,6159
58,3,3,5742
59,1,2,5062
60,2,2,4917
61,6,6,4526
62,3,3,4185
63,1,2,3533
64,1,2,3429
65,5,5,3241
66,2,3,2995
67,1,2,2443
68,1,2,2442
69,4,3,2400
70,2,2,2400
71,1,2,2400
72,2,1,2400
73,2,2,2400
74,3,3,2400
75,1,2,2400
76,2,1,2400
77,1,2,2400
78,4,3,2400
79,1,2,2710
80,2,1,2710
81,2,1,2710
82,3,4,2943
83,1,2,3769
84,1,2,3769
85,3,1,3769
86,3,3,4109
87,1,2,5225
88,1,2,5225
89,3,1,5225
90,4,3,5651
91,1,2,6986
92,1,2,6986
93,3,1,6986
94,5,4,7470
95,2,1,7470
96,1,2,8938
97,3,2,8938
98,6,5,9447
99,3,2,9778
100,1,2,10959
101,4,2,10959
102,6,6,11458
103,5,3,11785
104,1,2,12916
105,4,3,12916
106,7,6,13373
107,6,5,13679
108,1,2,14687
109,5,3,14687
110,7,7,15081
111,7,6,15340
112,1,2,16161
113,5,4,16161
114,8,7,16465
115,9,7,16750
116,1,2,17242
117,5,4,17242
118,10,8,17438
119,11,9,17609
120,1,2,17862
121,5,4,17862
122,11,10,17938
123,10,11,17984
124,1,2,17981
125,1,2,17981
126,14,13,17934
127,9,10,17853
128,1,2,17592
129,1,2,17592
130,11,11,17448
131,9,9,17228
132,2,2,17222
133,1,2,16720
134,10,10,16481
135,8,8,16233
136,3,3,16131
137,1,2,15419
138,9,9,15101
139,7,8,14780
140,2,3,14652
141,1,2,13773
142,9,8,13397
143,6,7,13024
144,2,2,12876
145,1,2,11883
146,8,8,11477
147,6,6,11075
148,2,2,10917
149,1,2,9874
150,6,6,9523
151,7,7,9056
152,1,2,8899
153,1,2,7875
154,4,5,7540
155,7,7,7098
156,1,2,5775
157,1,2,5741
158,2,2,5715
159,7,7,5326
160,1,2,4160
161,1,2,4119
162,2,1,4119
163,6,6,3851
164,1,2,2948
165,1,2,2909
166,2,1,2909
167,5,5,2766
168,1,2,2400
169,1,2,2400
170,1,2,2400
171,4,3,2400
172,1,2,2400
173,2,1,2400
174,1,2,2400
175,3,2,2400
176,1,2,2400
177,2,1,2400
178,1,2,2400
179,2,1,2400
180,2,2,2401
181,1,2,3199
182,2,1,3199
183,3,2,3224
184,2,2,3269
185,1,2,4473
186,1,2,4473
187,4,2,4502
188,2,2,4566
189,1,2,6101
190,1,2,6102
191,4,2,6131
192,4,2,6210
193,1,2,7978
194,1,2,7978
195,4,2,8006
196,5,4,8484
197,2,1,8484
198,1,2,9984
199,5,3,10008
200,6,5,10497
201,3,2,10787
202,1,2,11987
203,5,4,12007
204,6,6,12478
205,5,3,12755
206,1,2,13864
207,4,3,13865
208,8,7,14302
209,5,5,14547
210,1,2,15496
211,1,2,15496
212,12,8,15792
213,7,6,16049
214,1,2,16778
215,1,2,16778
216,13,10,16989
217,8,7,17166
218,1,2,17626
219,1,2,17626
220,14,11,17741
221,9,8,17828
222,1,2,17988
223,1,2,17988
224,15,12,17999
225,8,9,17991
226,1,2,17841
227,1,2,17841
228,14,13,17749
229,8,8,17646
230,1,2,17192
231,1,2,17192
232,13,12,17005
233,8,8,16815
234,1,2,16085
235,1,2,16085
236,12,11,15817
237,7,8,15550
238,1,2,14586
239,1,2,14586
240,10,9,14329
241,7,8,13933
242,1,2,12799
243,1,2,12799
244,9,8,12508
245,7,7,12066
246,1,2,10830
247,1,2,10830
248,7,7,10528
249,6,7,10065
250,1,2,8809
251,1,2,8759
252,5,5,8515
253,6,6,8061
254,1,2,6792
255,1,2,6652
256,4,3,6595
257,6,6,6181
258,1,2,4939
259,1,2,4917
260,3,2,4890
261,6,6,4544
262,1,2,3532
263,1,2,3511
264,2,1,3511
265,6,6,3254
266,1,2,2546
267,1,2,2517
268,2,1,2517
269,5,5,2400
270,1,2,2400
271,2,1,2400
272,1,2,2400
273,5,4,2400
274,1,2,2400
275,2,1,2400
276,1,2,2400
277,5,4,2400
278,1,2,2626
279,2,1,2626
280,1,2,2657
281,4,3,2756
282,2,2,2776
283,1,2,3639
284,2,1,3639
285,5,4,3836
286,2,2,3867
287,1,2,5059
288,1,2,5059
289,6,4,5310
