SENT,1745182875.9861817,0,12000
SENT,1745182876.1869814,1,11032
SENT,1745182876.4032066,4,11032
SENT,1745182876.4032097,5,11032
SENT,1745182876.4054887,6,11032
SENT,1745182876.405718,7,11032
SENT,1745182876.4058175,8,11032
SENT,1745182876.4059103,9,11032
SENT,1745182876.4060018,10,11032
SENT,1745182876.4060895,11,11032
SENT,1745182876.4061754,12,11032
SENT,1745182876.4062605,13,11032
SENT,1745182876.4063468,14,11032
SENT,1745182876.6086533,17,13073
SENT,1745182876.6086607,18,13073
SENT,1745182876.6088917,19,13073
SENT,1745182876.804776,22,13073
ACK,1745182876.8057415,5,13073
SENT,1745182876.805959,23,13963
ACK,1745182876.806957,6,13963
ACK,1745182876.806988,7,13968
ACK,1745182876.8070078,8,13969
ACK,1745182876.8070233,9,13969
SENT,1745182876.8071804,24,13969
ACK,1745182876.8082335,10,13969
ACK,1745182876.8082545,11,13974
ACK,1745182876.8082662,12,13974
ACK,1745182876.8082767,13,13974
SENT,1745182876.8084228,25,13974
ACK,1745182876.8098714,14,13974
SENT,1745182876.8100927,26,13981
SENT,1745182876.8456914,27,13981
SENT,1745182876.8456967,28,13981
SENT,1745182876.8812306,29,13981
SENT,1745182876.8812344,30,13981
SENT,1745182876.9169714,31,13981
SENT,1745182876.9169762,32,13981
ACK,1745182877.011211,18,13981
ACK,1745182877.0112562,19,14825
SENT,1745182877.0116277,34,14825
SENT,1745182877.0116324,35,14825
SENT,1745182877.0452142,36,14825
ACK,1745182877.2067883,22,14825
ACK,1745182877.2068198,23,15571
SENT,1745182877.20715,37,15571
SENT,1745182877.2071545,38,15571
ACK,1745182877.2092376,24,15571
ACK,1745182877.2092593,25,15579
SENT,1745182877.2094157,40,15579
ACK,1745182877.2125087,26,15579
SENT,1745182877.2127128,41,15591
SENT,1745182877.2442346,42,15591
ACK,1745182877.248154,27,15591
ACK,1745182877.2481863,28,15718
SENT,1745182877.2483885,43,15718
SENT,1745182877.2799675,44,15718
SENT,1745182877.2799728,45,15718
ACK,1745182877.2836444,29,15718
ACK,1745182877.2836695,30,15841
SENT,1745182877.2838533,46,15841
SENT,1745182877.315383,47,15841
SENT,1745182877.3153872,48,15841
ACK,1745182877.3193984,31,15841
ACK,1745182877.3194234,32,15963
SENT,1745182877.3196197,49,15963
SENT,1745182877.3509858,50,15963
SENT,1745182877.3509893,51,15963
ACK,1745182877.4139984,34,15963
ACK,1745182877.4140306,35,16269
SENT,1745182877.4144576,52,16269
SENT,1745182877.414489,53,16269
SENT,1745182877.4144924,54,16269
ACK,1745182877.4474044,36,16269
SENT,1745182877.4476814,55,16372
ACK,1745182877.609306,37,16372
ACK,1745182877.6093428,38,16830
SENT,1745182877.6097353,56,16830
SENT,1745182877.6097407,57,16830
ACK,1745182877.6112716,40,16830
SENT,1745182877.6115625,58,16835
ACK,1745182877.6148381,41,16835
SENT,1745182877.615094,59,16844
ACK,1745182877.646563,42,16844
SENT,1745182877.6467018,60,16926
SENT,1745182877.6467042,61,16926
ACK,1745182877.650321,43,16926
SENT,1745182877.6504314,62,16935
ACK,1745182877.682577,44,16935
ACK,1745182877.6826062,45,17014
SENT,1745182877.6829064,63,17014
SENT,1745182877.6829107,64,17014
ACK,1745182877.685753,46,17014
SENT,1745182877.6859899,65,17022
ACK,1745182877.7179992,47,17022
ACK,1745182877.7180262,48,17098
SENT,1745182877.7182891,66,17098
SENT,1745182877.7182934,67,17098
ACK,1745182877.721521,49,17098
SENT,1745182877.7216976,68,17106
ACK,1745182877.753354,50,17106
ACK,1745182877.7533767,51,17178
SENT,1745182877.753617,69,17178
SENT,1745182877.7536213,70,17178
ACK,1745182877.8162363,52,17178
ACK,1745182877.8162825,53,17312
ACK,1745182877.8162985,54,17312
SENT,1745182877.816683,71,17312
SENT,1745182877.8166878,72,17312
SENT,1745182877.8166907,73,17312
ACK,1745182877.8497438,55,17312
SENT,1745182877.8499749,74,17379
ACK,1745182878.0123947,56,17379
ACK,1745182878.012429,57,17656
ACK,1745182878.012445,58,17656
SENT,1745182878.012938,75,17656
SENT,1745182878.012942,76,17656
SENT,1745182878.0129452,77,17656
SENT,1745182878.0129478,78,17656
ACK,1745182878.016961,59,17656
SENT,1745182878.017137,79,17662
ACK,1745182878.0491238,60,17662
ACK,1745182878.0491507,61,17707
SENT,1745182878.0494046,80,17707
SENT,1745182878.0494087,81,17707
ACK,1745182878.0521908,62,17707
SENT,1745182878.052368,82,17711
ACK,1745182878.085353,63,17711
ACK,1745182878.0853784,64,17754
SENT,1745182878.085661,83,17754
SENT,1745182878.085667,84,17754
ACK,1745182878.08773,65,17754
