goodput_mbit/s,throughput_mbit/s,loss_ratio_percent,rtt_avg_ms,rtt_median_ms
8.941145167248793,9.213303358517935,2.9538116129800103,104.55036336076468,103.15280599752435
8.94105753498287,9.209523890532315,2.9149366736546245,104.70681016272967,103.5010374980629
8.814664047710162,9.100586903047336,3.1416580078415755,104.32583416793379,103.2806910079671
8.935288674255585,9.213237607447914,3.016685208529293,105.14561967650778,103.61365150311025
8.905619012364154,9.178607920178296,2.97402832924202,104.7834641975471,103.56069599220059
8.847426819275508,9.134706674506266,3.1447782224466856,104.66344898960251,103.4851110016461
8.939665829841134,9.218249745808873,3.0219332356865807,104.65997416327401,103.5022569994907
8.940187688400904,9.217107856562775,3.004256955193362,104.91343244073298,103.44879949116145
8.937867783700042,9.226102448596027,3.123963839669071,104.64752931282212,103.50612350157459
8.93586111799228,9.211854027258601,2.9959045144503977,104.9307168296157,103.4054264964652
