goodput_mbit/s,throughput_mbit/s,loss_ratio_percent,rtt_avg_ms,rtt_median_ms
7.923249562635735,7.954902638781416,0.3974363298104724,223.73535902143988,214.63003849930823
7.922056261829148,7.952103876277368,0.3773871332674835,222.58242034726277,214.4742510026844
7.91789079521787,7.954224199551518,0.4563113436745129,221.23617639498673,208.97595049973455
7.911430008024821,7.944303985553583,0.4133355266553379,222.10799405713038,213.7084120040526
7.925730897852465,7.965745575673493,0.5018646845173622,221.98264412814794,211.01691450166976
7.8957619350413415,7.914133782331365,0.2316687293802235,221.08559083081823,213.16023450344795
7.886290067753249,7.918631738276142,0.407954846154231,220.4913728369405,212.1835540019674
7.932107760469194,7.96794730357474,0.44932648640495537,222.20935903090952,213.9226129947928
7.894782455604999,7.931214720831245,0.4588830135969276,221.15744285993145,212.1619930003362
7.921990110661799,7.95978512743015,0.47435475785453746,222.14022914828135,211.9522279972443
