goodput_mbit/s,throughput_mbit/s,loss_ratio_percent,rtt_avg_ms,rtt_median_ms
9.32523672444368,9.345164220865147,0.21315760135074943,127.98991597230555,126.98869849555194
9.3871632186372,9.405416811866823,0.1939943170659011,128.74740602239436,128.25577599869575
9.2617737501573,9.281380038721775,0.21116225093889915,126.20646374470971,124.0860139951109
9.286324766566795,9.303704753501934,0.18672616820758098,126.54469752595607,124.647028002073
9.329179144984025,9.342922220415618,0.1470150760144766,127.59093627510474,127.01043750712415
9.361940780352972,9.38191933002801,0.2128663826972616,127.82169879993566,126.18340850167436
9.306808124739186,9.330918120221709,0.2583073016090135,126.69391563292406,124.1204789985204
9.33520454774124,9.354912343661521,0.21058689594960106,127.74179262872335,125.96153699996646
9.31528780135113,9.342161844503616,0.28758312866099384,128.63529540028543,127.84669100074095
9.384758344811067,9.405795482111326,0.22358045602820908,128.09869705270827,127.4449839984299
