goodput_mbit/s,throughput_mbit/s,loss_ratio_percent,rtt_avg_ms,rtt_median_ms
9.46634107020044,9.484433356435412,0.19067667581486014,128.16083504410065,128.90857750062418
9.396606764023737,9.416955580802718,0.2160060200153897,126.55845677376959,126.0908429994742
9.468559035257671,9.486742891848438,0.19159548750273642,127.06694987121753,126.72980299976183
9.44940204839857,9.467615100160705,0.19229110533217197,127.76843832290824,128.5241349978605
9.41699397772468,9.434303454734094,0.18339280288706916,127.07771146250712,127.283535002789
9.45179464914965,9.471102225963435,0.20377676148976911,127.30374001107388,127.5304240007244
9.44713402460218,9.466605539916536,0.20560534952369422,127.52038733765356,127.6993270003004
9.451169464356257,9.468011951736464,0.1778073001434295,126.98156699447976,125.9454200007894
9.463955650977882,9.48179150363943,0.18802533611522546,127.53277910664612,127.3213000004034
9.41689415956168,9.434044196347793,0.18170778322361628,128.29776973479366,130.0537770002847
