goodput_mbit/s,throughput_mbit/s,loss_ratio_percent,rtt_avg_ms,rtt_median_ms
8.626139050358047,8.64177460879512,0.18046070922536678,238.0874573733064,229.4186719955178
8.75437782265174,8.764496757919757,0.11498428530858247,243.230308344042,235.842677000619
8.738614662751566,8.761599591108029,0.2618683644058802,245.02283368536797,240.41253249743016
8.737274251560397,8.758811376133343,0.24542212444245035,244.82251835197656,238.78801499813554
8.718643204514773,8.735039888132933,0.18724246734005334,241.43161569797698,232.987123003113
8.766475083821021,8.780940195765405,0.16426377108860837,248.95487895402343,247.477073000482
8.73647583481841,8.753901193441429,0.19858913432050226,242.371885168469,234.39786200106025
8.4832407281295,8.498019754818783,0.17344227175115945,236.76510936803297,230.22634150038357
8.715410880981809,8.729694164661279,0.16314807329503064,237.41335498460842,230.1067040025373
8.690128186622909,8.704787278423158,0.1679334619227634,239.02281176660512,231.7497280018869
