goodput_mbit/s,throughput_mbit/s,loss_ratio_percent,rtt_avg_ms,rtt_median_ms
8.841263166201422,8.853545665570223,0.13826761872016602,122.42467797587115,115.98943750141186
8.852931786989314,8.86470858381034,0.13276892258252765,123.26476088976253,116.2391660036519
8.79501710308375,8.80885173166417,0.15697230834820794,123.08749793100166,116.6963329887948
8.78261343142002,8.79292287310337,0.11716560582910407,123.31605010432419,116.90013399493179
8.808394240346873,8.818515335365241,0.11468952771749677,123.26636975963656,117.48479599918929
8.857330542100215,8.87284978302915,0.1748256802470311,122.9840935683969,117.5867400015704
8.817836509227254,8.832264658436847,0.163275909683861,122.84325663835985,117.19358300615559
8.804439421418934,8.814870058805216,0.11824859412971098,122.98957062183567,117.16182249801929
8.876398155105287,8.88681862176745,0.1171761245031631,123.7701817866587,118.7692910025361
8.748259668262573,8.759130364512268,0.12402559406801529,122.45225715691316,116.05387350573434
