goodput_mbit/s,throughput_mbit/s,loss_ratio_percent,rtt_avg_ms,rtt_median_ms
8.380272049437966,8.395283704844653,0.178729211354168,109.6474258103257,104.1768840004806
8.5367504247107,8.551046547172495,0.16710426088969227,110.20144779081997,104.7791050077648
8.475960104187775,8.488462809930203,0.14720917315422496,110.12179661124615,104.5469980017514
8.552068643621888,8.568292599873644,0.18926739138038112,110.41227886638869,105.2198279940057
8.520156889811524,8.535654511531066,0.18148199354530917,109.94046195834174,104.44258499774145
8.380219604037048,8.39457991327238,0.17098506955963963,109.5082660897163,104.17690149915865
8.54244982322052,8.559016064693203,0.193471734376336,110.19903181129479,104.88454349979284
8.475532268906552,8.49037216654289,0.17470363258222749,109.93147738284641,104.618957004277
8.380538279309887,8.39520540547724,0.17462699396958978,109.41178653399388,104.4835069988039
8.36750273706686,8.385627827962528,0.21606336398075526,109.43120513863869,104.1939949936932
